source,target,z_score,symbol,status,direction,nlog10_bonferroni_pval
DB00190,4830,-6.457000000000001,NME1,imputed,down,6.159
DB00215,25825,-4.0569999999999995,BACE2,measured,down,1.3130000000000002
DB00224,4830,-5.515,NME1,imputed,down,3.645
DB00244,4830,-6.056,NME1,imputed,down,5.043
DB00244,5300,-4.711,PIN1,measured,down,2.6180000000000003
DB00334,3682,-4.5889999999999995,ITGAE,measured,down,2.3609999999999998
DB00387,958,-4.0569999999999995,CD40,measured,down,1.3130000000000002
DB00451,3329,-4.154,HSPD1,measured,down,1.495
DB00509,3329,-4.154,HSPD1,measured,down,1.495
DB00550,3682,-6.919,ITGAE,measured,down,8.352
DB00649,5300,-4.297,PIN1,measured,down,1.771
DB00787,4830,-5.526,NME1,imputed,down,3.6719999999999997
DB00795,3682,-5.747999999999999,ITGAE,measured,down,5.053999999999999
DB00810,54205,-4.898,CYCS,measured,down,3.0239999999999996
DB00810,1808,-4.647,DPYSL2,imputed,down,1.66
DB00810,10682,-5.17,EBP,measured,down,3.64
DB00810,3312,-4.198,HSPA8,measured,down,1.579
DB00810,8140,-5.832999999999999,SLC7A5,imputed,down,4.452
DB00810,7167,-5.044,TPI1,imputed,down,2.529
DB00843,6347,-6.071000000000001,CCL2,measured,down,5.905
DB00850,3682,-5.051,ITGAE,measured,down,3.367
DB00993,54205,-4.65,CYCS,measured,down,2.489
DB01014,4860,-4.075,PNP,measured,down,1.347
DB01014,8140,-4.56,SLC7A5,imputed,down,1.479
DB01100,54205,-5.582999999999999,CYCS,measured,down,4.636
DB01100,3312,-4.493,HSPA8,measured,down,2.1630000000000003
DB01100,5300,-4.063,PIN1,measured,down,1.324
DB01104,54205,-4.237,CYCS,measured,down,1.655
DB01104,3682,-5.221,ITGAE,measured,down,3.759
DB01175,25825,-4.0569999999999995,BACE2,measured,down,1.3130000000000002
DB01200,54205,-4.317,CYCS,measured,down,1.811
DB01224,54205,-5.551,CYCS,measured,down,4.556
DB01224,1808,-5.46,DPYSL2,imputed,down,3.51
DB01224,3303,-4.667,HSPA1A,measured,down,2.524
